repatri_case_id,site,created_at,mes,case_result,cust_id,payment_id,monto_ars,product_type,product_method,banco_origen,tiene_adjunto,tiene_denuncia,tipo_fraude,ai_response
2385263,MLA,2026-05-04,5,NO_BALANCE,1129524648,150370104114,60503.87,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,SI,falso comprobante y vishing,"{
  ""es_denuncia_policial"": true,
  ""tipo_fraude"": ""falso comprobante y vishing"",
  ""resumen"": ""La víctima fue engañada mediante un falso comprobante de transferencia por una venta en Marketplace, seguido de una llamada telefónica donde los estafadores se hicieron pasar por el banco para vaciar sus cuentas y tomar un préstamo a su nombre."",
  ""montos"": [
    ""$200.000"",
    ""$100.000"",
    ""$1.000.000"",
    ""$900.000"",
    ""$5.486.250,00"",
    ""$548.000,00"",
    ""$48.000"",
    ""$500.000"",
    ""$60.503,87""
  ],
  ""instituciones"": [
    ""Facebook Marketplace"",
    ""Banco Hipotecario"",
    ""Banco de la Nación Argentina (BNA)"",
    ""Ualá"",
    ""Tarjeta Naranja X"",
    ""Claro Pay"",
    ""Mercado Libre S.R.L.""
  ]
}"
2384900,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,11224543,157438465340,1532861,bank_transfer,cvu,BBVA_MLA,NO,NO,,
2384951,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,1401000508,146897733703,777500,bank_transfer,cvu,NUEVO_BANCO_DEL_CHACO_MLA,NO,NO,,
2384956,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,692675810,156377533877,13400,bank_transfer,cvu,CLARO_PAY_MLA,NO,NO,,
2385128,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,208757095,156114534720,27000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385132,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,62277711,155754172753,8000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385133,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1774193474,155947088384,180000,bank_transfer,cvu,WILOBANK_MLA,NO,NO,,
2385267,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,667847376,156294758039,350000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385214,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,417966821,150000515699,109300,bank_transfer,cvu,,NO,NO,,
2385111,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,778091761,156486279406,5666,bank_transfer,cvu,UALA_MLA,NO,NO,,
2386132,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,500684209,156341523263,1500000,bank_transfer,cvu,GALICIA_MLA,SI,NO,,
2385112,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,96081892,155409750447,14000,bank_transfer,cvu,WILOBANK_MLA,NO,NO,,
2385789,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,545293237,157387902102,210000,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2386284,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,1198025369,156932704355,139000,bank_transfer,cvu,BBVA_MLA,NO,NO,,
2386285,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,797418715,156934913235,44500,bank_transfer,cvu,BBVA_MLA,NO,NO,,
2384996,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,467926420,156455986471,948384.7,bank_transfer,cvu,GALICIA_MLA,NO,NO,,
2385020,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,585033270,147012485359,20000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385039,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,58751722,156310539209,462530,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385050,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1188053957,155552507715,25000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385541,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1154245517,156257940205,400000,bank_transfer,cvu,BBVA_MLA,NO,NO,,
2385547,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1192835396,155300041513,123500,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385550,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,147692868,155770544305,50000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,NO,NO,,
2385567,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,645738178,157111786358,135000,bank_transfer,cvu,BBVA_MLA,NO,NO,,
2385568,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1760505681,155310274610,15000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385610,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,708941036,156371831073,10000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385110,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,791305877,156667220586,2000000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385685,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1210529263,156642394378,2800,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385727,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1113237517,155848058162,30000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385123,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,2540030306,155974301872,20500,bank_transfer,cvu,WILOBANK_MLA,NO,NO,,
2385633,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1184219948,156959477658,100000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385120,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,327083559,155894345551,1300000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385340,MLA,2026-05-04,5,NO_BALANCE,3299412011,156603217165,1200000,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2385066,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1792411391,157013863916,618000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385596,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,398111027,155070501662,80089,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385609,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1114351247,156196545811,2126242,bank_transfer,cvu,BBVA_MLA,NO,NO,,
2385155,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1195449096,156987796822,146000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385239,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1197346152,155197603281,204000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385196,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,43407765,157065841644,283000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2385631,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1179612089,157078924326,1650000,bank_transfer,cvu,GALICIA_MLA,NO,NO,,
2385113,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1336410149,156678104254,150000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385042,MLA,2026-05-04,5,NO_BALANCE,3248556853,156725689383,790000,bank_transfer,cvu,MACRO_MLA,NO,NO,,
2384607,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,3222366862,156508299811,10000,bank_transfer,cvu,NARANJA_X_MLA,SI,SI,transferencias no autorizadas,"{
  ""es_denuncia_policial"": true,
  ""tipo_fraude"": ""transferencias no autorizadas"",
  ""resumen"": ""Detalle de múltiples transferencias de dinero presuntamente no autorizadas realizadas desde una cuenta de Mercado Pago hacia un tercero."",
  ""montos"": [
    ""10.000 PESOS"",
    ""5.349 PESOS"",
    ""6419 PESOS"",
    ""5349 PESOS"",
    ""61419 PESOS"",
    ""4279 PESOS""
  ],
  ""instituciones"": [
    ""Mercado Pago""
  ]
}"
2385523,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,1339403330,156486147363,300000,bank_transfer,cvu,BANCO_CIUDAD_MLA,NO,NO,,
2386246,MLA,2026-05-04,5,NO_BALANCE,1311182721,157670967938,25000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,NO,NO,,
2384993,MLA,2026-05-04,5,NO_BALANCE,773766615,156650636881,2000000,bank_transfer,cvu,BANCOR_MLA,NO,NO,,
2385173,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,226397030,157089284282,499999,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2385381,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,1180578085,156860625422,13000,bank_transfer,cvu,,SI,NO,,
2386158,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,794273059,157006819574,610184,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2385212,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,1766891671,157395095828,20000,bank_transfer,cvu,,SI,NO,,
2385520,MLA,2026-05-04,5,NO_BALANCE,1055675434,157255284266,311000,bank_transfer,cvu,BANCO_CIUDAD_MLA,NO,NO,,
2385311,MLA,2026-05-04,5,NO_INDICATION_OF_FRAUD,807109485,157541117656,997732,bank_transfer,cvu,MACRO_MLA,SI,NO,,
2385791,MLA,2026-05-04,5,NO_BALANCE,2979360768,156289433713,350000,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2385215,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,39409297,156871551745,850000,bank_transfer,cvu,BANCO_DE_LA_PAMPA_MLA,NO,NO,,
2385796,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,190439086,156941028370,12130,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385770,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,177058,156450323956,60000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385757,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1126034323,155678661987,35000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385742,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,212156640,156711203632,10000,bank_transfer,cvu,UALA_MLA,SI,NO,,
2385519,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,272501739,156463056081,110500,bank_transfer,cvu,PATAGONIA_MLA,SI,NO,,
2385475,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,3096185966,156509005265,100000,bank_transfer,cvu,UALA_MLA,NO,NO,,
2385474,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1512190162,155355137081,20000,bank_transfer,cvu,WILOBANK_MLA,NO,NO,,
2385471,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,1792442203,156734903833,3200,bank_transfer,cvu,WILOBANK_MLA,NO,NO,,
2385470,MLA,2026-05-04,5,USER_REFUSES_TO_REFUND,266120766,152964070435,116500,bank_transfer,cvu,WILOBANK_MLA,NO,NO,,
2385072,MLA,2026-05-04,5,,392464830,156998239852,50000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2384909,MLA,2026-05-04,5,,3222366862,156513595595,10000,bank_transfer,cvu,BRUBANK_MLA,SI,SI,transferencias fraudulentas,"```json
{
  ""es_denuncia_policial"": true,
  ""tipo_fraude"": ""transferencias fraudulentas"",
  ""resumen"": ""Denuncia por múltiples transferencias bancarias no reconocidas desde cuentas de Tarjeta Naranja y Mercado Pago hacia distintos destinatarios."",
  ""montos"": [
    ""10.000 PESOS"",
    ""10.000 PESOS"",
    ""15.000 PESOS"",
    ""10.000 PESOS"",
    ""5.349 PESOS"",
    ""6419 PESOS"",
    ""5349 PESOS"",
    ""5349 PESOS"",
    ""5349 PESOS"",
    ""61419 PESOS"",
    ""61419 PESOS"",
    ""4279 PESOS"",
    ""4279 PESOS"",
    ""6419 PESOS"",
    ""5349 PESOS"",
    ""3209 PESOS"",
    ""6740 PESOS"",
    ""4279"",
    ""5670 PESOS"",
    ""4279"",
    ""4279"",
    ""2888"",
    ""3423""
  ],
  ""instituciones"": [
    ""TARJETA NARANJA"",
    ""MERCADO PAGO""
  ]
}
```"
2386258,MLA,2026-05-04,5,,1209556693,136808315421,300000,bank_transfer,cvu,,NO,NO,,
2389074,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,1223363189,157859094342,530600,bank_transfer,cvu,PREX_MLA,SI,NO,,
2389829,MLA,2026-05-06,5,USER_REFUSES_TO_REFUND,27688902,156471827989,500000,bank_transfer,cvu,GALICIA_MLA,NO,NO,,
2388697,MLA,2026-05-06,5,NO_BALANCE,753907217,157510222092,1000000,bank_transfer,cvu,SUPERVIELLE_MLA,SI,SI,defraudación informática,"```json
{
  ""es_denuncia_policial"": true,
  ""tipo_fraude"": ""defraudación informática"",
  ""resumen"": ""La víctima denuncia un fraude informático tras detectar movimientos no autorizados en su cuenta bancaria."",
  ""montos"": [
    ""2,991.56"",
    ""377,871.38"",
    ""6,800.00"",
    ""5,000.00"",
    ""3,490.00"",
    ""20,000.00"",
    ""1,698,997.13"",
    ""100,000.00"",
    ""30,000.00"",
    ""33,000.00"",
    ""7,000.00"",
    ""36,000.00"",
    ""11,261.00"",
    ""1,600.00"",
    ""7.18"",
    ""20,909.09"",
    ""4,390.91"",
    ""1,000,000.00"",
    ""130.00""
  ],
  ""instituciones"": [
    ""Policía de la Provincia de Buenos Aires"",
    ""Ministerio Público Fiscal"",
    ""Banco Supervielle"",
    ""ANSES"",
    ""Brubank S.A.U.""
  ]
}
```"
2388806,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,1078211948,157847469184,759500,bank_transfer,cvu,BBVA_MLA,NO,NO,,
2389178,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,1494996157,157638247842,146000,bank_transfer,cvu,MACRO_MLA,NO,NO,,
2389658,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,529063227,144975662733,8400,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2389545,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,61079931,156687591092,30000,bank_transfer,cvu,,NO,NO,,
2389437,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,271181780,157004517223,41000,bank_transfer,cvu,NARANJA_X_MLA,SI,SI,robo con engaño,"{
  ""es_denuncia_policial"": true,
  ""tipo_fraude"": ""robo con engaño"",
  ""resumen"": ""El denunciante fue engañado por dos mujeres que conoció en un bar y posteriormente asaltado por un cómplice en un vehículo, quien le sustrajo su teléfono celular bajo amenaza con un destornillador."",
  ""montos"": [],
  ""instituciones"": [
    ""Policía de la Ciudad de Buenos Aires"",
    ""Ministerio Público Fiscal"",
    ""Tuenti""
  ]
}"
2388989,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,159061816,151251585722,8973449,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2389027,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,721394699,150753969274,2040000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,NO,NO,,
2389335,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,2697729983,157113835363,1350000,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2389549,MLA,2026-05-06,5,NO_INDICATION_OF_FRAUD,459488015,157092220155,300000,bank_transfer,cvu,SANTANDER_MLA,NO,NO,,
2388965,MLA,2026-05-06,5,USER_REFUSES_TO_REFUND,1630661936,157240660086,305150,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
2389011,MLA,2026-05-06,5,USER_REFUSES_TO_REFUND,1194473032,154905146456,150000,bank_transfer,cvu,,SI,NO,,
2388889,MLA,2026-05-06,5,USER_REFUSES_TO_REFUND,1333034288,150678676884,40000,bank_transfer,cvu,,SI,NO,,
2389142,MLA,2026-05-06,5,USER_REFUSES_TO_REFUND,1169550175,154771868336,50000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,NO,NO,,
2389041,MLA,2026-05-06,5,USER_REFUSES_TO_REFUND,133537728,156932881820,475000,bank_transfer,cvu,GALICIA_MLA,SI,NO,,
2389557,MLA,2026-05-06,5,USER_REFUSES_TO_REFUND,2019952448,152722645147,140000,bank_transfer,cvu,BANCO_DE_LA_NACION_ARG_MLA,SI,NO,,
